Date,SPY,QQQ,GLD,TLT
2018-01-03,0.006305233737897903,0.009670148206384628,-0.0026403330092135157,0.004770344873574004
2018-01-04,0.004205828950413994,0.0017480599603658907,0.005114278310262769,-0.00015901984723517608
2018-01-05,0.006642279154141633,0.009992572667733445,-0.001036702137934486,-0.0028598998518806302
2018-01-08,0.001826810692720619,0.00388337516940232,-0.0001596255390370604,-0.0006363024160776545
2018-01-09,0.002260865311396455,6.140155589501759e-05,-0.004639219643041588,-0.01346260912965092
2018-01-10,-0.0015312768164005691,-0.0023399834204385836,0.002402270692406848,-0.0012110203851809344
2018-01-11,0.007269896417297192,0.00682091881370348,0.003273877321212141,0.004111234380054707
2018-01-12,0.006497773706558448,0.007322146180181797,0.012044492942167013,0.0016877270076138852
2018-01-16,-0.00342432898012924,-0.0028616907825418756,0.001652690627169873,0.004167413925996206
2018-01-17,0.009486521347892683,0.010733411386765172,-0.008132363237354055,-0.0013605393053424814
2018-01-18,-0.001682091401975064,0.00018127363761506263,-0.002222213448585594,-0.00933310577503506
2018-01-19,0.004539132188646353,0.003130833820288338,0.0044394996120163946,-0.00526818848922892
2018-01-22,0.008097938667108989,0.010644060660756188,0.0018177059354296304,0.0009746944216223202
2018-01-23,0.002120430064259032,0.008233728168629271,0.004961985943158681,0.004293494067606563
2018-01-24,-0.00038848763575996266,-0.0065099684655488,0.012104345577545294,-0.0054306511299777906
2018-01-25,0.00042385840495601153,-0.0003567160875620417,-0.006697849027902464,0.008175187508010452
2018-01-26,0.011511155538224665,0.015209119878084237,0.0007811756386790387,-0.003715209864220344
2018-01-29,-0.006652119374772417,-0.004867493963164404,-0.005637857183470335,-0.006982675554858694
2018-01-30,-0.010309852105198837,-0.008264784350805032,-0.004328123373076199,-0.005883867560713337
2018-01-31,0.0004962886715530537,0.004140692901050047,0.00668108957049156,0.005883867560713315
2018-02-01,-0.0011354046846128207,-0.008536755867555286,0.0032848909860550284,-0.014598169484866051
2018-02-02,-0.022010539399217006,-0.02014684721690681,-0.013204686797240324,-0.009323149094782277
2018-02-05,-0.04272215267109793,-0.040224726502025666,0.0025286437555192493,0.009405425590847484
2018-02-06,0.019510539676110755,0.026154031344536734,-0.01055189964568088,-0.006232606079360111
2018-02-07,-0.005439428856325798,-0.013022814320030817,-0.004716772083453344,-0.009548412210540825
2018-02-08,-0.03823044514834417,-0.04311083988153221,0.001521419504394612,-0.0010949827187932502
2018-02-09,0.014909872019412603,0.01712229307382548,-0.0016817358427458674,-0.0063390169888398904
2018-02-12,0.014577739338581586,0.017589357616418572,0.0047973715177869495,0.004399357241050593
2018-02-13,0.0024842547842533792,0.005148165848575375,0.005647253596785453,0.004464122972631352
2018-02-14,0.013405826432177656,0.018550398740787878,0.0169088525197643,-0.011155326653640003
2018-02-15,0.012679523815540703,0.018394138668973357,0.0011691607653979673,0.0033932965970108965
2018-02-16,0.00029299032449548357,-0.004475928982699599,-0.0032769459911664296,0.00540587797098137
